lambda,log2_N,log2_delta,q0,L,log2_precision
128,14,21,38,10,1
128,14,21,38,11,1
128,14,21,38,12,1
128,14,21,38,13,1
128,14,21,38,14,1
128,14,21,38,15,1
128,14,21,38,16,1
128,14,21,38,17,1
128,14,21,39,1,1
128,14,21,39,2,1
128,14,21,39,3,1
128,14,21,39,4,1
128,14,21,39,5,1
128,14,21,39,6,1
128,14,21,39,7,1
128,14,21,39,8,1
128,14,21,39,9,1
128,14,21,39,10,1
128,14,21,39,11,1
128,14,21,39,12,1
128,14,21,39,13,1
128,14,21,39,14,1
128,14,21,39,15,1
128,14,21,39,16,1
128,14,21,39,17,1
128,14,21,40,1,1
128,14,21,40,2,1
128,14,21,40,3,1
128,14,21,40,4,1
128,14,21,40,5,1
128,14,21,40,6,1
128,14,21,40,7,1
128,14,21,40,8,1
128,14,21,40,9,1
128,14,21,40,10,1
128,14,21,40,11,1
128,14,21,40,12,1
128,14,21,40,13,1
128,14,21,40,14,1
128,14,21,40,15,1
128,14,21,40,16,1
128,14,21,40,17,1
128,14,21,41,1,1
128,14,21,41,2,1
128,14,21,41,3,1
128,14,21,41,4,1
128,14,21,41,5,1
128,14,21,41,6,1
128,14,21,41,7,1
128,14,21,41,8,1
128,14,21,41,9,1
128,14,21,41,10,1
128,14,21,41,11,1
128,14,21,41,12,1
128,14,21,41,13,1
128,14,21,41,14,1
128,14,21,41,15,1
128,14,21,41,16,1
128,14,22,24,1,2
128,14,22,24,2,2
128,14,22,24,3,2
128,14,22,24,4,2
128,14,22,24,5,2
128,14,22,24,6,2
128,14,22,24,7,2
128,14,22,24,8,2
128,14,22,24,9,2
128,14,22,24,10,2
128,14,22,24,11,2
128,14,22,24,12,2
128,14,22,24,13,2
128,14,22,24,14,2
128,14,22,24,15,2
128,14,22,24,16,2
128,14,22,25,1,2
128,14,22,25,2,2
128,14,22,25,3,2
128,14,22,25,4,2
128,14,22,25,5,2
128,14,22,25,6,2
128,14,22,25,7,2
128,14,22,25,8,2
128,14,22,25,9,2
128,14,22,25,10,2
128,14,22,25,11,2
128,14,22,25,12,2
128,14,22,25,13,2
128,14,22,25,14,2
128,14,22,25,15,2
128,14,22,25,16,2
128,14,22,26,1,2
128,14,22,26,2,2
128,14,22,26,3,2
128,14,22,26,4,2
128,14,22,26,5,2
128,14,22,26,6,2
128,14,22,26,7,2
128,14,22,26,8,2
128,14,22,26,9,2
128,14,22,26,10,2
128,14,22,26,11,2
128,14,22,26,12,2
128,14,22,26,13,2
128,14,22,26,14,2
128,14,22,26,15,2
128,14,22,26,16,2
128,14,22,27,1,2
128,14,22,27,2,2
128,14,22,27,3,2
128,14,22,27,4,2
128,14,22,27,5,2
128,14,22,27,6,2
128,14,22,27,7,2
128,14,22,27,8,2
128,14,22,27,9,2
128,14,22,27,10,2
128,14,22,27,11,2
128,14,22,27,12,2
128,14,22,27,13,2
128,14,22,27,14,2
128,14,22,27,15,2
128,14,22,27,16,2
128,14,22,28,1,2
128,14,22,28,2,2
128,14,22,28,3,2
128,14,22,28,4,2
128,14,22,28,5,2
128,14,22,28,6,2
128,14,22,28,7,2
128,14,22,28,8,2
128,14,22,28,9,2
128,14,22,28,10,2
128,14,22,28,11,2
128,14,22,28,12,2
128,14,22,28,13,2
128,14,22,28,14,2
128,14,22,28,15,2
128,14,22,28,16,2
128,14,22,29,1,2
128,14,22,29,2,2
128,14,22,29,3,2
128,14,22,29,4,2
128,14,22,29,5,2
128,14,22,29,6,2
128,14,22,29,7,2
128,14,22,29,8,2
128,14,22,29,9,2
128,14,22,29,10,2
128,14,22,29,11,2
128,14,22,29,12,2
128,14,22,29,13,2
128,14,22,29,14,2
128,14,22,29,15,2
128,14,22,29,16,2
128,14,22,30,1,2
128,14,22,30,2,2
128,14,22,30,3,2
128,14,22,30,4,2
128,14,22,30,5,2
128,14,22,30,6,2
128,14,22,30,7,2
128,14,22,30,8,2
128,14,22,30,9,2
128,14,22,30,10,2
128,14,22,30,11,2
128,14,22,30,12,2
128,14,22,30,13,2
128,14,22,30,14,2
128,14,22,30,15,2
128,14,22,30,16,2
128,14,22,31,1,2
128,14,22,31,2,2
128,14,22,31,3,2
128,14,22,31,4,2
128,14,22,31,5,2
128,14,22,31,6,2
128,14,22,31,7,2
128,14,22,31,8,2
128,14,22,31,9,2
128,14,22,31,10,2
128,14,22,31,11,2
128,14,22,31,12,2
128,14,22,31,13,2
128,14,22,31,14,2
128,14,22,31,15,2
128,14,22,31,16,2
128,14,22,32,1,2
128,14,22,32,2,2
128,14,22,32,3,2
128,14,22,32,4,2
128,14,22,32,5,2
128,14,22,32,6,2
128,14,22,32,7,2
128,14,22,32,8,2
128,14,22,32,9,2
128,14,22,32,10,2
128,14,22,32,11,2
128,14,22,32,12,2
128,14,22,32,13,2
128,14,22,32,14,2
128,14,22,32,15,2
128,14,22,32,16,2
128,14,22,33,1,2
128,14,22,33,2,2
128,14,22,33,3,2
128,14,22,33,4,2
128,14,22,33,5,2
128,14,22,33,6,2
128,14,22,33,7,2
128,14,22,33,8,2
128,14,22,33,9,2
128,14,22,33,10,2
128,14,22,33,11,2
128,14,22,33,12,2
128,14,22,33,13,2
128,14,22,33,14,2
128,14,22,33,15,2
128,14,22,33,16,2
128,14,22,34,1,2
128,14,22,34,2,2
128,14,22,34,3,2
128,14,22,34,4,2
128,14,22,34,5,2
128,14,22,34,6,2
128,14,22,34,7,2
128,14,22,34,8,2
128,14,22,34,9,2
128,14,22,34,10,2
128,14,22,34,11,2
128,14,22,34,12,2
128,14,22,34,13,2
128,14,22,34,14,2
128,14,22,34,15,2
128,14,22,34,16,2
128,14,22,35,1,2
128,14,22,35,2,2
128,14,22,35,3,2
128,14,22,35,4,2
128,14,22,35,5,2
128,14,22,35,6,2
