lambda,log2_N,log2_delta,q0,L,log2_precision
128,15,41,44,13,20
128,15,41,44,14,20
128,15,41,44,15,20
128,15,41,44,16,20
128,15,41,44,17,20
128,15,41,44,18,20
128,15,41,45,1,20
128,15,41,45,2,20
128,15,41,45,3,20
128,15,41,45,4,20
128,15,41,45,5,20
128,15,41,45,6,20
128,15,41,45,7,20
128,15,41,45,8,20
128,15,41,45,9,20
128,15,41,45,10,20
128,15,41,45,11,20
128,15,41,45,12,20
128,15,41,45,13,20
128,15,41,45,14,20
128,15,41,45,15,20
128,15,41,45,16,20
128,15,41,45,17,20
128,15,41,45,18,20
128,15,41,46,1,20
128,15,41,46,2,20
128,15,41,46,3,20
128,15,41,46,4,20
128,15,41,46,5,20
128,15,41,46,6,20
128,15,41,46,7,20
128,15,41,46,8,20
128,15,41,46,9,20
128,15,41,46,10,20
128,15,41,46,11,20
128,15,41,46,12,20
128,15,41,46,13,20
128,15,41,46,14,20
128,15,41,46,15,20
128,15,41,46,16,20
128,15,41,46,17,20
128,15,41,46,18,20
128,15,41,47,1,20
128,15,41,47,2,20
128,15,41,47,3,20
128,15,41,47,4,20
128,15,41,47,5,20
128,15,41,47,6,20
128,15,41,47,7,20
128,15,41,47,8,20
128,15,41,47,9,20
128,15,41,47,10,20
128,15,41,47,11,20
128,15,41,47,12,20
128,15,41,47,13,20
128,15,41,47,14,20
128,15,41,47,15,20
128,15,41,47,16,20
128,15,41,47,17,20
128,15,41,47,18,20
128,15,41,48,1,20
128,15,41,48,2,20
128,15,41,48,3,20
128,15,41,48,4,20
128,15,41,48,5,20
128,15,41,48,6,20
128,15,41,48,7,20
128,15,41,48,8,20
128,15,41,48,9,20
128,15,41,48,10,20
128,15,41,48,11,20
128,15,41,48,12,20
128,15,41,48,13,20
128,15,41,48,14,20
128,15,41,48,15,20
128,15,41,48,16,20
128,15,41,48,17,20
128,15,41,48,18,20
128,15,41,49,1,20
128,15,41,49,2,20
128,15,41,49,3,20
128,15,41,49,4,20
128,15,41,49,5,20
128,15,41,49,6,20
128,15,41,49,7,20
128,15,41,49,8,20
128,15,41,49,9,20
128,15,41,49,10,20
128,15,41,49,11,20
128,15,41,49,12,20
128,15,41,49,13,20
128,15,41,49,14,20
128,15,41,49,15,20
128,15,41,49,16,20
128,15,41,49,17,20
128,15,41,49,18,20
128,15,41,50,1,20
128,15,41,50,2,20
128,15,41,50,3,20
128,15,41,50,4,20
128,15,41,50,5,20
128,15,41,50,6,20
128,15,41,50,7,20
128,15,41,50,8,20
128,15,41,50,9,20
128,15,41,50,10,20
128,15,41,50,11,20
128,15,41,50,12,20
128,15,41,50,13,20
128,15,41,50,14,20
128,15,41,50,15,20
128,15,41,50,16,20
128,15,41,50,17,20
128,15,41,50,18,20
128,15,41,51,1,20
128,15,41,51,2,20
128,15,41,51,3,20
128,15,41,51,4,20
128,15,41,51,5,20
128,15,41,51,6,20
128,15,41,51,7,20
128,15,41,51,8,20
128,15,41,51,9,20
128,15,41,51,10,20
128,15,41,51,11,20
128,15,41,51,12,20
128,15,41,51,13,20
128,15,41,51,14,20
128,15,41,51,15,20
128,15,41,51,16,20
128,15,41,51,17,20
128,15,41,51,18,20
128,15,41,52,1,20
128,15,41,52,2,20
128,15,41,52,3,20
128,15,41,52,4,20
128,15,41,52,5,20
128,15,41,52,6,20
128,15,41,52,7,20
128,15,41,52,8,20
128,15,41,52,9,20
128,15,41,52,10,20
128,15,41,52,11,20
128,15,41,52,12,20
128,15,41,52,13,20
128,15,41,52,14,20
128,15,41,52,15,20
128,15,41,52,16,20
128,15,41,52,17,20
128,15,41,52,18,20
128,15,41,53,1,20
128,15,41,53,2,20
128,15,41,53,3,20
128,15,41,53,4,20
128,15,41,53,5,20
128,15,41,53,6,20
128,15,41,53,7,20
128,15,41,53,8,20
128,15,41,53,9,20
128,15,41,53,10,20
128,15,41,53,11,20
128,15,41,53,12,20
128,15,41,53,13,20
128,15,41,53,14,20
128,15,41,53,15,20
128,15,41,53,16,20
128,15,41,53,17,20
128,15,41,53,18,20
128,15,41,54,1,20
128,15,41,54,2,20
128,15,41,54,3,20
128,15,41,54,4,20
128,15,41,54,5,20
128,15,41,54,6,20
128,15,41,54,7,20
128,15,41,54,8,20
128,15,41,54,9,20
128,15,41,54,10,20
128,15,41,54,11,20
128,15,41,54,12,20
128,15,41,54,13,20
128,15,41,54,14,20
128,15,41,54,15,20
128,15,41,54,16,20
128,15,41,54,17,20
128,15,41,54,18,20
128,15,41,55,1,20
128,15,41,55,2,20
128,15,41,55,3,20
128,15,41,55,4,20
128,15,41,55,5,20
128,15,41,55,6,20
128,15,41,55,7,20
128,15,41,55,8,20
128,15,41,55,9,20
128,15,41,55,10,20
128,15,41,55,11,20
128,15,41,55,12,20
128,15,41,55,13,20
128,15,41,55,14,20
128,15,41,55,15,20
128,15,41,55,16,20
128,15,41,55,17,20
128,15,41,55,18,20
128,15,41,56,1,20
128,15,41,56,2,20
128,15,41,56,3,20
128,15,41,56,4,20
128,15,41,56,5,20
128,15,41,56,6,20
128,15,41,56,7,20
128,15,41,56,8,20
128,15,41,56,9,20
128,15,41,56,10,20
128,15,41,56,11,20
128,15,41,56,12,20
128,15,41,56,13,20
128,15,41,56,14,20
128,15,41,56,15,20
128,15,41,56,16,20
128,15,41,56,17,20
128,15,41,57,1,20
128,15,41,57,2,20
128,15,41,57,3,20
128,15,41,57,4,20
128,15,41,57,5,20
128,15,41,57,6,20
128,15,41,57,7,20
128,15,41,57,8,20
128,15,41,57,9,20
128,15,41,57,10,20
128,15,41,57,11,20
128,15,41,57,12,20
128,15,41,57,13,20
128,15,41,57,14,20
128,15,41,57,15,20
128,15,41,57,16,20
128,15,41,57,17,20
128,15,41,58,1,20
128,15,41,58,2,20
128,15,41,58,3,20
128,15,41,58,4,20
128,15,41,58,5,20
128,15,41,58,6,20
128,15,41,58,7,20
128,15,41,58,8,20
128,15,41,58,9,20
128,15,41,58,10,20
128,15,41,58,11,20
128,15,41,58,12,20
128,15,41,58,13,20
128,15,41,58,14,20
128,15,41,58,15,20
128,15,41,58,16,20
128,15,41,58,17,20
128,15,41,59,1,20
128,15,41,59,2,20
128,15,41,59,3,20
128,15,41,59,4,20
128,15,41,59,5,20
128,15,41,59,6,20
128,15,41,59,7,20
128,15,41,59,8,20
128,15,41,59,9,20
128,15,41,59,10,20
128,15,41,59,11,20
128,15,41,59,12,20
128,15,41,59,13,20
128,15,41,59,14,20
128,15,41,59,15,20
128,15,41,59,16,20
128,15,41,59,17,20
128,15,41,60,1,20
128,15,41,60,2,20
128,15,41,60,3,20
128,15,41,60,4,20
128,15,41,60,5,20
128,15,41,60,6,20
128,15,41,60,7,20
128,15,41,60,8,20
128,15,41,60,9,20
128,15,41,60,10,20
128,15,41,60,11,20
128,15,41,60,12,20
128,15,41,60,13,20
128,15,41,60,14,20
128,15,41,60,15,20
128,15,41,60,16,20
128,15,41,60,17,20
128,15,42,44,1,21
128,15,42,44,2,21
128,15,42,44,3,21
128,15,42,44,4,21
128,15,42,44,5,21
128,15,42,44,6,21
128,15,42,44,7,21
128,15,42,44,8,21
128,15,42,44,9,21
128,15,42,44,10,21
128,15,42,44,11,21
128,15,42,44,12,21
128,15,42,44,13,21
128,15,42,44,14,21
128,15,42,44,15,21
128,15,42,44,16,21
128,15,42,44,17,21
128,15,42,45,1,21
128,15,42,45,2,21
128,15,42,45,3,21
128,15,42,45,4,21
128,15,42,45,5,21
128,15,42,45,6,21
128,15,42,45,7,21
128,15,42,45,8,21
128,15,42,45,9,21
128,15,42,45,10,21
128,15,42,45,11,21
128,15,42,45,12,21
128,15,42,45,13,21
128,15,42,45,14,21
128,15,42,45,15,21
128,15,42,45,16,21
128,15,42,45,17,21
128,15,42,46,1,21
128,15,42,46,2,21
128,15,42,46,3,21
128,15,42,46,4,21
128,15,42,46,5,21
128,15,42,46,6,21
128,15,42,46,7,21
128,15,42,46,8,21
128,15,42,46,9,21
128,15,42,46,10,21
128,15,42,46,11,21
128,15,42,46,12,21
128,15,42,46,13,21
128,15,42,46,14,21
128,15,42,46,15,21
128,15,42,46,16,21
128,15,42,46,17,21
128,15,42,47,1,21
128,15,42,47,2,21
128,15,42,47,3,21
128,15,42,47,4,21
128,15,42,47,5,21
128,15,42,47,6,21
128,15,42,47,7,21
128,15,42,47,8,21
128,15,42,47,9,21
128,15,42,47,10,21
128,15,42,47,11,21
128,15,42,47,12,21
128,15,42,47,13,21
128,15,42,47,14,21
128,15,42,47,15,21
128,15,42,47,16,21
128,15,42,47,17,21
128,15,42,48,1,21
128,15,42,48,2,21
128,15,42,48,3,21
128,15,42,48,4,21
128,15,42,48,5,21
128,15,42,48,6,21
128,15,42,48,7,21
128,15,42,48,8,21
128,15,42,48,9,21
128,15,42,48,10,21
128,15,42,48,11,21
128,15,42,48,12,21
128,15,42,48,13,21
128,15,42,48,14,21
128,15,42,48,15,21
128,15,42,48,16,21
128,15,42,48,17,21
128,15,42,49,1,21
128,15,42,49,2,21
128,15,42,49,3,21
128,15,42,49,4,21
128,15,42,49,5,21
128,15,42,49,6,21
128,15,42,49,7,21
128,15,42,49,8,21
128,15,42,49,9,21
128,15,42,49,10,21
128,15,42,49,11,21
128,15,42,49,12,21
128,15,42,49,13,21
128,15,42,49,14,21
128,15,42,49,15,21
128,15,42,49,16,21
128,15,42,49,17,21
128,15,42,50,1,21
128,15,42,50,2,21
128,15,42,50,3,21
128,15,42,50,4,21
128,15,42,50,5,21
128,15,42,50,6,21
128,15,42,50,7,21
128,15,42,50,8,21
128,15,42,50,9,21
128,15,42,50,10,21
128,15,42,50,11,21
128,15,42,50,12,21
128,15,42,50,13,21
128,15,42,50,14,21
128,15,42,50,15,21
128,15,42,50,16,21
128,15,42,50,17,21
128,15,42,51,1,21
128,15,42,51,2,21
128,15,42,51,3,21
128,15,42,51,4,21
128,15,42,51,5,21
128,15,42,51,6,21
128,15,42,51,7,21
128,15,42,51,8,21
128,15,42,51,9,21
128,15,42,51,10,21
128,15,42,51,11,21
128,15,42,51,12,21
128,15,42,51,13,21
128,15,42,51,14,21
128,15,42,51,15,21
128,15,42,51,16,21
128,15,42,51,17,21
128,15,42,52,1,21
128,15,42,52,2,21
128,15,42,52,3,21
128,15,42,52,4,21
128,15,42,52,5,21
128,15,42,52,6,21
128,15,42,52,7,21
128,15,42,52,8,21
128,15,42,52,9,21
128,15,42,52,10,21
128,15,42,52,11,21
128,15,42,52,12,21
128,15,42,52,13,21
128,15,42,52,14,21
128,15,42,52,15,21
128,15,42,52,16,21
128,15,42,52,17,21
128,15,42,53,1,21
128,15,42,53,2,21
128,15,42,53,3,21
128,15,42,53,4,21
128,15,42,53,5,21
128,15,42,53,6,21
128,15,42,53,7,21
128,15,42,53,8,21
128,15,42,53,9,21
128,15,42,53,10,21
128,15,42,53,11,21
128,15,42,53,12,21
128,15,42,53,13,21
128,15,42,53,14,21
128,15,42,53,15,21
128,15,42,53,16,21
128,15,42,53,17,21
128,15,42,54,1,21
128,15,42,54,2,21
128,15,42,54,3,21
128,15,42,54,4,21
128,15,42,54,5,21
128,15,42,54,6,21
128,15,42,54,7,21
128,15,42,54,8,21
128,15,42,54,9,21
128,15,42,54,10,21
128,15,42,54,11,21
128,15,42,54,12,21
128,15,42,54,13,21
128,15,42,54,14,21
128,15,42,54,15,21
128,15,42,54,16,21
128,15,42,54,17,21
128,15,42,55,1,21
128,15,42,55,2,21
128,15,42,55,3,21
128,15,42,55,4,21
128,15,42,55,5,21
128,15,42,55,6,21
128,15,42,55,7,21
128,15,42,55,8,21
128,15,42,55,9,21
128,15,42,55,10,21
128,15,42,55,11,21
128,15,42,55,12,21
128,15,42,55,13,21
128,15,42,55,14,21
128,15,42,55,15,21
128,15,42,55,16,21
128,15,42,55,17,21
128,15,42,56,1,21
128,15,42,56,2,21
128,15,42,56,3,21
128,15,42,56,4,21
128,15,42,56,5,21
128,15,42,56,6,21
128,15,42,56,7,21
128,15,42,56,8,21
128,15,42,56,9,21
128,15,42,56,10,21
128,15,42,56,11,21
128,15,42,56,12,21
128,15,42,56,13,21
128,15,42,56,14,21
128,15,42,56,15,21
128,15,42,56,16,21
128,15,42,56,17,21
128,15,42,57,1,21
128,15,42,57,2,21
128,15,42,57,3,21
128,15,42,57,4,21
128,15,42,57,5,21
128,15,42,57,6,21
128,15,42,57,7,21
128,15,42,57,8,21
128,15,42,57,9,21
128,15,42,57,10,21
128,15,42,57,11,21
128,15,42,57,12,21
128,15,42,57,13,21
128,15,42,57,14,21
128,15,42,57,15,21
128,15,42,57,16,21
128,15,42,57,17,21
128,15,42,58,1,21
128,15,42,58,2,21
128,15,42,58,3,21
128,15,42,58,4,21
128,15,42,58,5,21
128,15,42,58,6,21
128,15,42,58,7,21
128,15,42,58,8,21
128,15,42,58,9,21
128,15,42,58,10,21
128,15,42,58,11,21
128,15,42,58,12,21
128,15,42,58,13,21
128,15,42,58,14,21
128,15,42,58,15,21
128,15,42,58,16,21
128,15,42,58,17,21
128,15,42,59,1,21
128,15,42,59,2,21
128,15,42,59,3,21
128,15,42,59,4,21
128,15,42,59,5,21
128,15,42,59,6,21
128,15,42,59,7,21
128,15,42,59,8,21
128,15,42,59,9,21
128,15,42,59,10,21
128,15,42,59,11,21
128,15,42,59,12,21
128,15,42,59,13,21
128,15,42,59,14,21
128,15,42,59,15,21
128,15,42,59,16,21
128,15,42,59,17,21
128,15,42,60,1,21
128,15,42,60,2,21
128,15,42,60,3,21
128,15,42,60,4,21
128,15,42,60,5,21
128,15,42,60,6,21
128,15,42,60,7,21
128,15,42,60,8,21
128,15,42,60,9,21
128,15,42,60,10,21
128,15,42,60,11,21
128,15,42,60,12,21
128,15,42,60,13,21
128,15,42,60,14,21
128,15,42,60,15,21
128,15,42,60,16,21
128,15,42,60,17,21
128,15,43,45,1,22
128,15,43,45,2,22
128,15,43,45,3,22
128,15,43,45,4,22
128,15,43,45,5,22
128,15,43,45,6,22
128,15,43,45,7,22
128,15,43,45,8,22
128,15,43,45,9,22
128,15,43,45,10,22
128,15,43,45,11,22
128,15,43,45,12,22
128,15,43,45,13,22
128,15,43,45,14,22
128,15,43,45,15,22
128,15,43,45,16,22
128,15,43,45,17,22
128,15,43,46,1,22
128,15,43,46,2,22
128,15,43,46,3,22
128,15,43,46,4,22
128,15,43,46,5,22
128,15,43,46,6,22
128,15,43,46,7,22
128,15,43,46,8,22
128,15,43,46,9,22
128,15,43,46,10,22
128,15,43,46,11,22
128,15,43,46,12,22
128,15,43,46,13,22
128,15,43,46,14,22
128,15,43,46,15,22
128,15,43,46,16,22
128,15,43,46,17,22
128,15,43,47,1,22
128,15,43,47,2,22
128,15,43,47,3,22
128,15,43,47,4,22
128,15,43,47,5,22
128,15,43,47,6,22
128,15,43,47,7,22
128,15,43,47,8,22
128,15,43,47,9,22
128,15,43,47,10,22
128,15,43,47,11,22
128,15,43,47,12,22
128,15,43,47,13,22
128,15,43,47,14,22
128,15,43,47,15,22
128,15,43,47,16,22
128,15,43,47,17,22
128,15,43,48,1,22
128,15,43,48,2,22
128,15,43,48,3,22
128,15,43,48,4,22
128,15,43,48,5,22
128,15,43,48,6,22
128,15,43,48,7,22
128,15,43,48,8,22
128,15,43,48,9,22
128,15,43,48,10,22
128,15,43,48,11,22
128,15,43,48,12,22
128,15,43,48,13,22
128,15,43,48,14,22
128,15,43,48,15,22
128,15,43,48,16,22
128,15,43,48,17,22
128,15,43,49,1,22
128,15,43,49,2,22
128,15,43,49,3,22
128,15,43,49,4,22
128,15,43,49,5,22
128,15,43,49,6,22
128,15,43,49,7,22
128,15,43,49,8,22
128,15,43,49,9,22
128,15,43,49,10,22
128,15,43,49,11,22
128,15,43,49,12,22
128,15,43,49,13,22
128,15,43,49,14,22
128,15,43,49,15,22
128,15,43,49,16,22
128,15,43,49,17,22
128,15,43,50,1,22
128,15,43,50,2,22
128,15,43,50,3,22
128,15,43,50,4,22
128,15,43,50,5,22
128,15,43,50,6,22
128,15,43,50,7,22
128,15,43,50,8,22
128,15,43,50,9,22
128,15,43,50,10,22
128,15,43,50,11,22
128,15,43,50,12,22
128,15,43,50,13,22
128,15,43,50,14,22
128,15,43,50,15,22
128,15,43,50,16,22
128,15,43,50,17,22
128,15,43,51,1,22
128,15,43,51,2,22
128,15,43,51,3,22
128,15,43,51,4,22
128,15,43,51,5,22
128,15,43,51,6,22
128,15,43,51,7,22
128,15,43,51,8,22
128,15,43,51,9,22
128,15,43,51,10,22
128,15,43,51,11,22
128,15,43,51,12,22
128,15,43,51,13,22
128,15,43,51,14,22
128,15,43,51,15,22
128,15,43,51,16,22
128,15,43,51,17,22
128,15,43,52,1,22
128,15,43,52,2,22
128,15,43,52,3,22
128,15,43,52,4,22
128,15,43,52,5,22
128,15,43,52,6,22
128,15,43,52,7,22
128,15,43,52,8,22
128,15,43,52,9,22
128,15,43,52,10,22
128,15,43,52,11,22
128,15,43,52,12,22
128,15,43,52,13,22
128,15,43,52,14,22
128,15,43,52,15,22
128,15,43,52,16,22
128,15,43,52,17,22
128,15,43,53,1,22
128,15,43,53,2,22
128,15,43,53,3,22
128,15,43,53,4,22
128,15,43,53,5,22
128,15,43,53,6,22
128,15,43,53,7,22
128,15,43,53,8,22
128,15,43,53,9,22
128,15,43,53,10,22
128,15,43,53,11,22
128,15,43,53,12,22
128,15,43,53,13,22
128,15,43,53,14,22
128,15,43,53,15,22
128,15,43,53,16,22
128,15,43,53,17,22
128,15,43,54,1,22
128,15,43,54,2,22
128,15,43,54,3,22
128,15,43,54,4,22
128,15,43,54,5,22
128,15,43,54,6,22
128,15,43,54,7,22
128,15,43,54,8,22
128,15,43,54,9,22
128,15,43,54,10,22
128,15,43,54,11,22
128,15,43,54,12,22
128,15,43,54,13,22
128,15,43,54,14,22
128,15,43,54,15,22
128,15,43,54,16,22
128,15,43,54,17,22
128,15,43,55,1,22
128,15,43,55,2,22
128,15,43,55,3,22
128,15,43,55,4,22
128,15,43,55,5,22
128,15,43,55,6,22
128,15,43,55,7,22
128,15,43,55,8,22
128,15,43,55,9,22
128,15,43,55,10,22
128,15,43,55,11,22
128,15,43,55,12,22
128,15,43,55,13,22
128,15,43,55,14,22
128,15,43,55,15,22
128,15,43,55,16,22
128,15,43,55,17,22
128,15,43,56,1,22
128,15,43,56,2,22
128,15,43,56,3,22
128,15,43,56,4,22
128,15,43,56,5,22
128,15,43,56,6,22
128,15,43,56,7,22
128,15,43,56,8,22
128,15,43,56,9,22
128,15,43,56,10,22
128,15,43,56,11,22
128,15,43,56,12,22
128,15,43,56,13,22
128,15,43,56,14,22
128,15,43,56,15,22
128,15,43,56,16,22
128,15,43,56,17,22
128,15,43,57,1,22
128,15,43,57,2,22
128,15,43,57,3,22
128,15,43,57,4,22
128,15,43,57,5,22
128,15,43,57,6,22
128,15,43,57,7,22
128,15,43,57,8,22
128,15,43,57,9,22
128,15,43,57,10,22
128,15,43,57,11,22
128,15,43,57,12,22
128,15,43,57,13,22
128,15,43,57,14,22
128,15,43,57,15,22
128,15,43,57,16,22
128,15,43,57,17,22
128,15,43,58,1,22
128,15,43,58,2,22
128,15,43,58,3,22
128,15,43,58,4,22
128,15,43,58,5,22
128,15,43,58,6,22
128,15,43,58,7,22
128,15,43,58,8,22
128,15,43,58,9,22
128,15,43,58,10,22
128,15,43,58,11,22
128,15,43,58,12,22
128,15,43,58,13,22
128,15,43,58,14,22
128,15,43,58,15,22
128,15,43,58,16,22
128,15,43,58,17,22
128,15,43,59,1,22
128,15,43,59,2,22
128,15,43,59,3,22
128,15,43,59,4,22
128,15,43,59,5,22
128,15,43,59,6,22
128,15,43,59,7,22
128,15,43,59,8,22
128,15,43,59,9,22
128,15,43,59,10,22
128,15,43,59,11,22
128,15,43,59,12,22
128,15,43,59,13,22
128,15,43,59,14,22
128,15,43,59,15,22
128,15,43,59,16,22
128,15,43,59,17,22
128,15,43,60,1,22
128,15,43,60,2,22
128,15,43,60,3,22
128,15,43,60,4,22
128,15,43,60,5,22
128,15,43,60,6,22
128,15,43,60,7,22
128,15,43,60,8,22
128,15,43,60,9,22
128,15,43,60,10,22
128,15,43,60,11,22
128,15,43,60,12,22
128,15,43,60,13,22
128,15,43,60,14,22
128,15,43,60,15,22
128,15,43,60,16,22
128,15,43,60,17,22
128,15,44,46,1,23
128,15,44,46,2,23
128,15,44,46,3,23
128,15,44,46,4,23
128,15,44,46,5,23
128,15,44,46,6,23
128,15,44,46,7,23
128,15,44,46,8,23
128,15,44,46,9,23
128,15,44,46,10,23
128,15,44,46,11,23
128,15,44,46,12,23
128,15,44,46,13,23
128,15,44,46,14,23
128,15,44,46,15,23
128,15,44,46,16,23
128,15,44,47,1,23
128,15,44,47,2,23
128,15,44,47,3,23
128,15,44,47,4,23
128,15,44,47,5,23
128,15,44,47,6,23
128,15,44,47,7,23
128,15,44,47,8,23
128,15,44,47,9,23
128,15,44,47,10,23
128,15,44,47,11,23
128,15,44,47,12,23
128,15,44,47,13,23
128,15,44,47,14,23
128,15,44,47,15,23
128,15,44,47,16,23
128,15,44,48,1,23
128,15,44,48,2,23
128,15,44,48,3,23
128,15,44,48,4,23
128,15,44,48,5,23
128,15,44,48,6,23
128,15,44,48,7,23
128,15,44,48,8,23
128,15,44,48,9,23
128,15,44,48,10,23
128,15,44,48,11,23
128,15,44,48,12,23
128,15,44,48,13,23
128,15,44,48,14,23
128,15,44,48,15,23
128,15,44,48,16,23
128,15,44,49,1,23
128,15,44,49,2,23
128,15,44,49,3,23
128,15,44,49,4,23
128,15,44,49,5,23
128,15,44,49,6,23
128,15,44,49,7,23
128,15,44,49,8,23
128,15,44,49,9,23
128,15,44,49,10,23
128,15,44,49,11,23
128,15,44,49,12,23
128,15,44,49,13,23
128,15,44,49,14,23
128,15,44,49,15,23
128,15,44,49,16,23
128,15,44,50,1,23
128,15,44,50,2,23
128,15,44,50,3,23
128,15,44,50,4,23
128,15,44,50,5,23
128,15,44,50,6,23
128,15,44,50,7,23
128,15,44,50,8,23
128,15,44,50,9,23
128,15,44,50,10,23
128,15,44,50,11,23
128,15,44,50,12,23
128,15,44,50,13,23
128,15,44,50,14,23
128,15,44,50,15,23
128,15,44,50,16,23
128,15,44,51,1,23
128,15,44,51,2,23
128,15,44,51,3,23
128,15,44,51,4,23
128,15,44,51,5,23
128,15,44,51,6,23
128,15,44,51,7,23
128,15,44,51,8,23
128,15,44,51,9,23
128,15,44,51,10,23
128,15,44,51,11,23
128,15,44,51,12,23
128,15,44,51,13,23
128,15,44,51,14,23
128,15,44,51,15,23
128,15,44,51,16,23
128,15,44,52,1,23
128,15,44,52,2,23
128,15,44,52,3,23
128,15,44,52,4,23
128,15,44,52,5,23
128,15,44,52,6,23
128,15,44,52,7,23
128,15,44,52,8,23
128,15,44,52,9,23
128,15,44,52,10,23
128,15,44,52,11,23
128,15,44,52,12,23
128,15,44,52,13,23
128,15,44,52,14,23
128,15,44,52,15,23
128,15,44,52,16,23
128,15,44,53,1,23
128,15,44,53,2,23
128,15,44,53,3,23
128,15,44,53,4,23
128,15,44,53,5,23
128,15,44,53,6,23
128,15,44,53,7,23
128,15,44,53,8,23
128,15,44,53,9,23
128,15,44,53,10,23
128,15,44,53,11,23
128,15,44,53,12,23
128,15,44,53,13,23
128,15,44,53,14,23
128,15,44,53,15,23
128,15,44,53,16,23
128,15,44,54,1,23
128,15,44,54,2,23
128,15,44,54,3,23
128,15,44,54,4,23
128,15,44,54,5,23
128,15,44,54,6,23
128,15,44,54,7,23
128,15,44,54,8,23
128,15,44,54,9,23
128,15,44,54,10,23
128,15,44,54,11,23
128,15,44,54,12,23
128,15,44,54,13,23
128,15,44,54,14,23
128,15,44,54,15,23
128,15,44,54,16,23
128,15,44,55,1,23
128,15,44,55,2,23
128,15,44,55,3,23
128,15,44,55,4,23
128,15,44,55,5,23
128,15,44,55,6,23
128,15,44,55,7,23
128,15,44,55,8,23
128,15,44,55,9,23
128,15,44,55,10,23
128,15,44,55,11,23
128,15,44,55,12,23
128,15,44,55,13,23
128,15,44,55,14,23
128,15,44,55,15,23
128,15,44,55,16,23
128,15,44,56,1,23
128,15,44,56,2,23
128,15,44,56,3,23
128,15,44,56,4,23
128,15,44,56,5,23
128,15,44,56,6,23
128,15,44,56,7,23
128,15,44,56,8,23
128,15,44,56,9,23
128,15,44,56,10,23
128,15,44,56,11,23
128,15,44,56,12,23
128,15,44,56,13,23
128,15,44,56,14,23
128,15,44,56,15,23
128,15,44,56,16,23
128,15,44,57,1,23
128,15,44,57,2,23
128,15,44,57,3,23
128,15,44,57,4,23
128,15,44,57,5,23
128,15,44,57,6,23
128,15,44,57,7,23
128,15,44,57,8,23
128,15,44,57,9,23
128,15,44,57,10,23
128,15,44,57,11,23
128,15,44,57,12,23
128,15,44,57,13,23
128,15,44,57,14,23
128,15,44,57,15,23
128,15,44,57,16,23
128,15,44,58,1,23
128,15,44,58,2,23
128,15,44,58,3,23
128,15,44,58,4,23
128,15,44,58,5,23
128,15,44,58,6,23
128,15,44,58,7,23
128,15,44,58,8,23
128,15,44,58,9,23
128,15,44,58,10,23
128,15,44,58,11,23
128,15,44,58,12,23
128,15,44,58,13,23
128,15,44,58,14,23
128,15,44,58,15,23
128,15,44,58,16,23
128,15,44,59,1,23
128,15,44,59,2,23
128,15,44,59,3,23
128,15,44,59,4,23
128,15,44,59,5,23
128,15,44,59,6,23
128,15,44,59,7,23
128,15,44,59,8,23
128,15,44,59,9,23
128,15,44,59,10,23
128,15,44,59,11,23
128,15,44,59,12,23
128,15,44,59,13,23
128,15,44,59,14,23
128,15,44,59,15,23
128,15,44,59,16,23
128,15,44,60,1,23
128,15,44,60,2,23
128,15,44,60,3,23
128,15,44,60,4,23
128,15,44,60,5,23
128,15,44,60,6,23
128,15,44,60,7,23
128,15,44,60,8,23
128,15,44,60,9,23
128,15,44,60,10,23
128,15,44,60,11,23
128,15,44,60,12,23
128,15,44,60,13,23
128,15,44,60,14,23
128,15,44,60,15,23
128,15,44,60,16,23
128,15,45,47,1,24
128,15,45,47,2,24
128,15,45,47,3,24
128,15,45,47,4,24
128,15,45,47,5,24
128,15,45,47,6,24
128,15,45,47,7,24
128,15,45,47,8,24
128,15,45,47,9,24
128,15,45,47,10,24
128,15,45,47,11,24
128,15,45,47,12,24
128,15,45,47,13,24
128,15,45,47,14,24
128,15,45,47,15,24
128,15,45,47,16,24
128,15,45,48,1,24
128,15,45,48,2,24
128,15,45,48,3,24
128,15,45,48,4,24
128,15,45,48,5,24
128,15,45,48,6,24
128,15,45,48,7,24
128,15,45,48,8,24
128,15,45,48,9,24
128,15,45,48,10,24
128,15,45,48,11,24
128,15,45,48,12,24
128,15,45,48,13,24
128,15,45,48,14,24
128,15,45,48,15,24
128,15,45,48,16,24
128,15,45,49,1,24
128,15,45,49,2,24
128,15,45,49,3,24
128,15,45,49,4,24
128,15,45,49,5,24
128,15,45,49,6,24
128,15,45,49,7,24
128,15,45,49,8,24
128,15,45,49,9,24
128,15,45,49,10,24
128,15,45,49,11,24
128,15,45,49,12,24
128,15,45,49,13,24
128,15,45,49,14,24
128,15,45,49,15,24
128,15,45,49,16,24
128,15,45,50,1,24
128,15,45,50,2,24
128,15,45,50,3,24
128,15,45,50,4,24
128,15,45,50,5,24
128,15,45,50,6,24
128,15,45,50,7,24
128,15,45,50,8,24
128,15,45,50,9,24
128,15,45,50,10,24
128,15,45,50,11,24
128,15,45,50,12,24
128,15,45,50,13,24
128,15,45,50,14,24
128,15,45,50,15,24
128,15,45,50,16,24
128,15,45,51,1,24
128,15,45,51,2,24
128,15,45,51,3,24
128,15,45,51,4,24
128,15,45,51,5,24
128,15,45,51,6,24
128,15,45,51,7,24
128,15,45,51,8,24
128,15,45,51,9,24
128,15,45,51,10,24
